corp_code,corp_name,stock_code,business_year,fs_label,revenue_current,revenue_previous,op_current,op_previous,revenue_account_name,op_account_name,current_period_name,previous_period_name
00378363,3S,060310,2023,연결재무제표,41857755025.0,27110628415.0,2180508808.0,1452134065.0,매출액,영업이익,제 33 기,제 32 기
00378363,3S,060310,2024,연결재무제표,43595351592.0,41857755025.0,1164030344.0,2180508808.0,매출액,영업이익,제 34 기,제 33 기
00378363,3S,060310,2025,연결재무제표,29022184967.0,43595351592.0,-5831286169.0,1164030344.0,매출액,영업이익,제 35 기,제 34 기
00365387,AJ네트웍스,095570,2023,연결재무제표,1001975993554.0,1193651665953.0,78385856886.0,76418662736.0,영업수익,영업이익,제 24 기,제 23 기
00365387,AJ네트웍스,095570,2024,연결재무제표,1014156314426.0,936525061005.0,72790207643.0,78472288742.0,영업수익,영업이익(손실),제 25 기,제 24 기
00365387,AJ네트웍스,095570,2025,연결재무제표,1070114469000.0,964641518000.0,71548375000.0,76256280000.0,영업수익,영업이익(손실),제 26 기,제 25 기
00125080,AK홀딩스,006840,2023,연결재무제표,4479660141625.0,3787959855335.0,279123890558.0,-21822473627.0,수익(매출액),영업이익(손실),제 54 기,제 53 기
00125080,AK홀딩스,006840,2024,연결재무제표,4488280532801.0,4479660141625.0,130320128409.0,279123890558.0,수익(매출액),영업이익(손실),제 55 기,제 54 기
00125080,AK홀딩스,006840,2025,연결재무제표,3235721337340.0,3810134357114.0,-147853720731.0,51103013034.0,수익(매출액),영업이익(손실),제 56 기,제 55 기
00296078,APS,054620,2023,연결재무제표,41047387923.0,40821934034.0,-18603977383.0,-15269627833.0,수익(매출액),영업이익(손실),제 28 기,제 27 기
00296078,APS,054620,2024,연결재무제표,93965013528.0,41047387923.0,-22637555084.0,-18603977383.0,수익(매출액),영업이익(손실),제 29 기,제 28 기
00296078,APS,054620,2025,연결재무제표,84866669022.0,93965013528.0,-6849442482.0,-22637555084.0,수익(매출액),영업이익(손실),제 30 기,제 29 기
00445160,APS이노베이션,079810,2023,연결재무제표,127353695998.0,50156594629.0,1747811023.0,-4537959489.0,수익(매출액),영업이익(손실),제 23 기,제 22 기
00445160,APS이노베이션,079810,2024,연결재무제표,146374220970.0,127353695998.0,5356271874.0,1747811023.0,수익(매출액),영업이익(손실),제 24 기,제 23 기
00445160,APS이노베이션,079810,2025,연결재무제표,73985134062.0,146374220970.0,2549522798.0,5356271874.0,매출액,영업이익,제 25 기,제 24 기
01203808,AP시스템,265520,2023,연결재무제표,533579250430.0,486607636185.0,60121226139.0,90485155839.0,수익(매출액),영업이익(손실),제 7 기,제 6 기
01203808,AP시스템,265520,2024,연결재무제표,516698011486.0,533579250430.0,47190207802.0,60121226139.0,매출액,영업이익(손실),제 8 기,제 7 기
01203808,AP시스템,265520,2025,연결재무제표,460144858180.0,516698011486.0,33328136683.0,47190207802.0,매출액,영업이익(손실),제 9 기,제 8 기
00874803,AP위성,211270,2023,별도재무제표,49434135093.0,53604126086.0,10071432183.0,4494271143.0,수익(매출액),영업이익(손실),제 13 기,제 12 기
00874803,AP위성,211270,2024,별도재무제표,58631773787.0,49434135093.0,7300333201.0,10071432183.0,수익(매출액),영업이익(손실),제 14 기,제 13 기
00874803,AP위성,211270,2025,별도재무제표,47812373057.0,58631773787.0,-4301222143.0,7300333201.0,수익(매출액),영업이익(손실),제 15 기,제 14 기
00219097,BGF,027410,2023,연결재무제표,443173612089.0,434997439995.0,70546076287.0,61203792653.0,매출액,영업이익,제 30 기,제 29 기
00219097,BGF,027410,2024,연결재무제표,434085472661.0,356392506416.0,55229112297.0,60569749600.0,매출액,영업이익,제 31 기,제 30 기
00219097,BGF,027410,2025,연결재무제표,469468454559.0,434085472661.0,61173853919.0,55229112297.0,매출액,영업이익,제 32 기,제 31 기
01263022,BGF리테일,282330,2023,연결재무제표,8194753978897.0,7615769467741.0,253187753623.0,252407573570.0,매출액,영업이익(손실),제 7 기,제 6 기
01263022,BGF리테일,282330,2024,연결재무제표,8698757469111.0,8194753978897.0,251641247239.0,253187753623.0,매출액,영업이익,제 8 기,제 7 기
01263022,BGF리테일,282330,2025,연결재무제표,9061216107616.0,8698757469111.0,253947326677.0,251641247239.0,매출액,영업이익,제 9 기,제 8 기
